userId,displayName
Ud3362f30ac09d9fcb4cf99d5ef857564,瑋
U9e4e7eecf724c2535887c0d70a73c32f,黃豆兒
U55468989d2238fd588154247cf122d14,Diamond
Ubaf900f3fdff1a1a9e2b2983d2255e58,儒儒
U796a08c2748a3389e69e11d2e1590084,christy
U8ba5f26896e02dcad0388449826c3178,k
Ud723d01d9c39e596e37a08ee5860896f,禾亞通訊
Ub524e16f7bb9bab2699e4eb400ca1c08,黄miumiu
U8091aab7fdb67d97ca5748f7f400c974,環球c3數位通信/門號續約/分期/中古機
Uf300bfeaecce2c1d350b30e3a933ce85,小謝
U6cb41dbdae5df70c6e0f286383500ee6,邱慕華
U46833c5d558c93f6fa0a7d567e47bf94,🎈紀詠真😄住商不動產/AI手機店
U8286f8837ce6dd503b8f1b7c23450da7,玉蓮🌸依米EMI🐰
Ufa56000f37b38f106cb265444bfacc0c,星威通訊_文七店
Uba1b0eab92e88654bb6966f5041392bd,丫威
U29d748a6ec4d8e82e0e2f30a8ab774df,邱典愷
U062a144ec77839e273bcd8d686d3130f,葉沛宸
Ua82fae20ee9871b1150549ffa9b3d91a,小翠(姺瑜媽）
U0053e659a383ee64d46ac973abdc84be,趙士豪
U704c25819bf47a15646dd56ab6c80c16,李騰彬
U043200cd43e3833315bbf2b303f2349f,Mina Dai
U3f499cb4b8e86a822fa07b0734aa3df2,貞霓
U874c06db695fca407d9a8285c231bd9f,六六屋-滋儀🌺
U0413d078da1b2b376e06c41ed8b6527f,錢哈蜜
Ub960abc5d83a0ea550bfd63d3ee4ac29,RyanY
Ua858e98443a4028312d810c4a0f2235a,游小宏  New 新手機
U107b3061c179dd8ba1dfa2ab717e0953,瑜兒🌸
Uf0c0d2b9e46ffc188e4bbd790e747b6f,D.W.Y♠️
U4fde96654ffc013820999a613f995cb7,凱森Jason
Ufd6a5d70b2de8876b13989792648ca16,Eason Lee
U800760c66ce5eb6c34c7251c9ec673b7,冠濠
Ude2cb6d20605335a6503e209c155881d,古鎮豪~奇亞通信
U56ebff9be02fe8c46e2c29c6c31b295c,有隻手機 蘇大森
U0baeeec5388e0e739b143aed9cc18a62,Hao
U1a286e576aa83f121ec9ca611a2572d1,晨
U41f0adf11ba6b0960031cb465ea349d5,翔翔通訊-博愛店
U46b735f83973c91bbe17750a0427a665,陳小沄
U9e4c3e24c7397065e34cde6f67c93258,文和
U2dd38065b030964e62ed90334bee3348,小叮噹
Ucaa37288ad7f079c900f379878a8e367,大白
Ue2f208da4fcf3438550205d88a137d71,黃祺瑋
Uf03d916f5089ec2b6c7c1fb11e239094,Winnie
U67eac04960f37fbd9a0f44d73dda98ed,章魚🐙
Ua797a1847135f2a608b97a8900c4e0af,Kun Chi Liu
U231324e53b31d0b339c023dfe1d2eaef,丁丁兒🔔   ᵕ̈
Ua482915ff97d246e8c65b7f70c804ea9,連結網通-Ian
U5dd9b3c0d91cf4d375b6d717e4333765,宇修
Ubf3ca1a4ea9c2fba739aec475033a438,Lin Chun Yu (峻佑)
Uc7641dba75213fa8a8965cb564a896f2,凱西
U9909def7555c170a0b5e144d20470edd,PG內勤1組
Ud5a118c759bdb6e88038cdf6f362e08d,反骨 我是好寶寶
U7c004afb1e8d465eb4659244995c9da0,潘琪琪
U10c13c19c7c0aa66048439d12a4aebe5,Eric Chen
U4cc736748a8af70edbc808aecc2fb90f,🇺🇸普格爾❤️晴文Lucia❤️
U08a41b3f4102145a4e4212b4d6b78762,佳佳
Uc4783c125669c37339696700a32117b4,🥀Ru
Uf4e8696df2dc9ccb2a89ee4d8b0f2045,小憶-公務機
U41e4c62c1112d878ce3219192f3d0e73,吳書書
U9463165c26326b58559d9dd0210c5479,yuan
U5c23478b5e24d1ccbd426c9d875fe27c,Ron
Ub17130b4c882f1e416fd567bf2167191,Guy
U7e2a5594f10b36476e5db8c37a8702db,阿乃❤️手機電信家
U44dd7050723e7078c1d8f5b94b7df7ce,Lilian
Uba6bafe66e1ac298937b7313c86a959e,林欣毅
Ue08be2cdfb8701251fc9db0c54e79d76,台灣行動屋-竹南店
U4c9d025b05aabaa9f6a6c92e29df4b3b,馬尼文賢Ⓜ️062597899
U2dd43ab00d6b5ce83ab8382420d1c957,🌲香香ʕ •ᴥ•ʔ
U82b5b6e3505dc0e195202fabf161596e,台灣大哥大 朴子山通門市
U414b59bdba4f6a7e13d39f0c7532d28c,珮雯
Ufbd621e5abb1b74fe6fac504ce7bc27c,佳蓁
U5e75ffe980911786becbec17b9679580,晨
Ua31e51e3ae2315c807b7bac1d447b78b,Gina~吉娜
U0f66e0bb9a17112a449399065d4836dc,劉振維(Mark Liu)
Uf302a8030c83527ae416ee281e4129ac,土豆🥜蘋果維修🧰
U5daaf2bf4a44585ab849a4859fded1b5,Eason 
Uf974f3a018ff985b235488fdfed9946b,Erek。施小吟
U01f13a858edf04522b4072443d3712d0,SHAUNA
Uc1dc1363245b2a2d535dba43c91213eb,⭐️鈞元-多多⭐
U791ec8d49a9eb4a6608572d91585c606,Jessica
Ua20f6c8eef52660e87f1a70a6b855fc0,kuo-lin
U9aa31423b9b98b7557d8b7369fcf4e53,李易宴
Ucf5e185a2ad3b59d69137343d292796c,Mapsbooking@知識初心
U9d2f9b1d77a9f45d39faa069051dc579,楊東榮
U2c40200ff22747cc2fb7ab048a5935ad,🌟手機家族維修師-王品™
U686cc28503771cd1d802b27ba2234a02,SHAUNA_company
U46f9aef62c54d7d79df1805f28c9f767,膜匠手機店🐻涵涵
Ue733ea14c5334dd87bdedb183f00cb3b,許承哲
U625109553bc50fa4d74e927574b89c33,小欣
U761d0cec592c9d786be74625da8f8f0b,陳SO明
U543e079951cff5183b43999f57026589,陳柏廷(巨宣通訊)
U237708176cc907da558492bcbeb35085,遠傳鳳山青年加盟門市
U8fefeb680a2586e1067228e3893e18e0,阿綸
U29e6fea007b5dc8fc616f25c4aa9a8ae,Bibo🌻
U10cd674c3fa80bef49de55c58e70dccf,Ounoun Hsieh
Uc4b530ecf305c401f97e6def3af39f52,*手機家族❤️品牌總監-芯瑜😊
Uafab326115a8271184f4cc51c6690bc7,Melody chiu
Ua0fb59ef7409d59ab71795d17ced1aec,Ting
Uaef180318cfec9cf79cc58dfa0687fd0,達叔
Ud8311c8187e75cbf8c7e221a8c7fc41c,淑萍
Ue55e00da5dd460cf9b026f275d64af71,學府通信中正店
Uf75032c32a5f1a6ddae737e29802fc35,呂文傑
Ud386c545e24ef7f52a1bb474c9cdc5e0,呂偉誠
U57a668f6ac685058b6cab44c5354d018,乙娟
U395a3b5a9913cba9c63044ce457ca957,怡文
U145660126c71f5f0d89d6f5c6aaccefc,林羿宏
U4ba1f45f294d681b9eabd7c2c1e480b5,吳可可
U2eb73dc3c07d8a087c40cbf918d26e1b,阿諺*手機專家-尚順店
Ue18a91cd8b9c949d6596b4baeb1d1e8b,中華智慧館-泰山明志店
U048a695622946ec258a47a6ec12c1153,翔翔通訊台中一店
U70c7b8065e265c8a66a141990139f6f1,家溱
Ud16df7b650d52f1fa76910897dd7b2d1,賴玟君
U4f2d8fc89880eae44a7204cc7830eac7,Eden-門號-手機-配件-中古機買賣
Ue4a3d973cdc9d1f39dd7f44b39392371,Grace🦄️
U7bc7015caa26b189aaeb7caf5c86c5a0,佳展會計公務機
Ue8c814892945ebc1de50347d15664580,宇新公益門市公務機
Uf768d128caff4ea843b5b706b3eabf6c,沙咪兔
U0c235ca83d766afbd59f4f11bdb26bed,家智小菜（秉鈞）
U8c59488c534f05655975bcd698efcc4f,蕭 hsiao
Udf81d3f78457237394822b332c1ec8af,中華智慧館-泰山明志店
U085aa155f3955e2face35ad39d0c6514,佳儫⌚️📱💻🖥
Uc644da5ec558744d5571ab04a33c3f9e,Hao🦖
U8fd80f999c7a83538aa6b1b50fb2673b,AnYu
U0943917c647a0ee4ee3e72c750a15349,*手機家族📱技術總監-阿伯教練😊
U6e8fafcb04335c7dcd319782fb1b33b6,全葳軟體資訊客服部
U8793bf091c80fd6aa84eaf9dc3da9c14,栗子頭的爸
U03528a456adc9d22e41200ddbb6d7758,大東
Uaf2d19ae0cc2c998f0f9461a5c7b96a9,昇元（昇昇通信）
U9ead6f46bf31be6590544ec91595226d,洪門神（洪語涵）
U33e2662b5b2d71f7ca2c90a54ffe6b41,Yi  Fan
U0bd94a2fbdd6c47f805bc0cb62adc83b,采潔
Ub56c38acb6f1dac029b9fa9713305ef9,(晚上在竹南)🌟阿布🌟布魯斯通訊
Ucf43f50c9de36721e38c80b8846d7054,中華智慧館-中原店
U099f0ae374184dac86010e01ea356338,同音通訊行【手機總倉】
Ud844c7cbfa4a8e55d59fa40a10cdc049,I.H
U74c37df44bac3b1774e05097498b21b9,耐斯通訊Nice
U15d162233ac4b20d3c7e395252948130,允晞🤍Yunqi
U93c454f17650d6da908a6baafd9fdf74,呆呆
U0f6ab9658af6ccd277bb573d0a4f21ef,誠宏人事
U9b0abf051986e5566f2dbba22281f894,Anyu💋
Ubb2d774f138ae3e0e5984b81f38c4535,李政翰
U17bd820326673f02f2b97381ee3495eb,小金
U89468b84039821cf04b3cffe4682835d,XUN
U0c8eba3eee0dc8e8713d823bae82647b,吳易勳｜ 3C手機通訊
U39de9fbabd10a93225a89bd1b2945ef9,趙舒舒
U53ebac8674ef444e4db30e0e7b7146fe,𝓓𝓪𝓷𝓲𝓬𝓪岑心♥♥🇹🇼🇹🇭
U55caf3cc8e9023463afea899673661e3,小今
U0f4fc841ef9e2b4660e1121fa11e7cb8,連得翔（中古機、全新機、續約、攜碼）
U18ca21b5b6677589053bed022274f4e0,甘軒
U492421df6d962c502747e779882c3e8a,Jackie
Uabad237eb2c6dfa5345e783dc9779511,Nick
U85099597665187e6eb182e763625af0b,鄭林傑( Jargo )📱💻
U8530b6d88de84d076fe1fb48648f34a7,OKD 楊維均
U655f81a031cdff2be392a372c3ed0bbb,賴玟伶
U377bc4777025cb9dc748f68ca74ed2b9,燕芬💞
U528fb69c1aea1c6b9c9b9f8a4a4c7c0b,手機-林煒軒
Ue58af97d51e3cb51d14de63eb841f336,澤
Uf497be253b7a5d95bcef2960e51ef54f,傅彥霖
Ud54985baeee6b27fa14d2a6d78272504,許筑媛
U4745206c799807f9c6e7a9c03a40aa0b,游+好
U4c9cb2bf11005d595f4aec255a8c595b,Linnnnnng✨
Ua95a05b78eed9c7354adbb47cc764ce8,手機方程式
Uc17a9acc4b2f5be15d7ad67be4280a06,FZ手機專業維修
U3b98947cbbc33638839c51d5e95163f6,劉淑卿(Lisa)🍒🍇🍑🥝🍍
Uc2ca99cea5ac741a83ed73250d1ecb39,廖廖
Ucea615579342fcd19e348cae084e982f,涂瑜芯📲
Ue191017a5320d29523ed0edaf4c7ba19,帳務組-小龍
U4d230978c8f6398a813adb88b82e837b,台哥大-大里內新
